Conference	2008	2009	2010	2011	2012
515	12	85	95	163	76
516	38	24	0	15	31
517	37	49	26	33	42
518	261	191	361	0	0
519	77	105	88	154	145
520	47	57	0	45	0
521	241	336	0	0	0
522	87	89	70	135	109
523	112	82	171	74	180
524	46	98	105	66	139
525	59	0	37	47	0
526	119	140	144	152	84
527	22	45	28	55	52
528	84	25	0	0	0
529	28	13	5	3	14
530	89	38	28	36	52
531	63	73	80	78	86
532	15	33	48	89	137
533	21	28	0	12	0
534	80	123	174	192	180
535	382	0	0	0	0
536	68	121	0	0	0
537	41	61	63	102	25
538	96	110	184	146	124
539	75	0	205	168	0
540	40	66	34	118	42
541	176	199	0	0	0
542	182	169	162	139	151
543	25	39	6	9	52
544	42	111	35	34	32
545	71	39	53	65	76
546	127	137	118	119	87
547	18	0	89	0	45
548	65	60	86	89	109
549	41	148	114	381	74
550	429	168	147	73	24
551	187	188	134	83	97
552	91	36	55	25	45
553	27	58	89	102	78
554	49	42	39	83	48
555	145	130	125	0	0
556	55	30	38	21	56
557	34	64	54	38	57
558	16	77	28	33	66
559	27	0	57	0	87
560	0	279	261	0	212
561	0	357	0	0	0
562	0	298	0	0	184
563	0	635	0	0	0
564	0	85	236	168	135
565	0	756	0	0	0
566	0	628	0	0	0
567	0	56	0	48	0
568	0	55	43	0	0
569	0	134	0	0	0
570	0	75	0	81	0
571	0	227	232	0	297
572	0	139	221	277	198
573	0	649	0	0	0
574	0	64	97	0	0
575	0	91	49	113	83
576	0	121	143	305	0
577	0	40	65	56	39
578	0	219	96	125	0
579	0	102	0	0	0
580	0	47	57	30	0
581	0	405	0	0	0
582	0	204	0	0	0
583	0	147	0	0	0
584	0	136	0	0	0
585	0	692	0	0	0
586	0	138	237	298	230
587	0	49	72	47	0
588	0	681	0	0	0
589	0	117	166	217	166
590	0	157	215	158	136
591	0	33	24	70	45
592	0	251	0	0	0
593	0	188	234	211	0
594	0	114	0	117	0
595	0	307	0	0	0
596	0	239	147	0	347
597	0	161	0	162	0
598	0	41	0	0	0
599	0	153	181	173	197
600	0	54	25	0	0
601	0	108	93	0	0
602	0	89	0	65	0
603	0	95	0	67	0
604	0	521	0	0	0
605	0	165	0	0	0
606	0	139	93	125	0
607	0	330	0	326	0
608	0	224	0	0	0
609	0	219	0	0	0
610	0	60	60	53	55
611	0	78	108	135	152
612	0	120	0	61	0
613	0	193	0	177	134
614	0	896	0	0	0
615	0	27	139	0	0
616	0	231	0	148	0
617	0	87	0	65	104
618	0	63	19	14	14
619	0	69	0	63	0
620	0	364	0	0	0
621	0	50	129	58	104
622	0	666	0	0	0
623	0	90	0	0	84
624	0	167	0	0	0
625	0	85	0	0	477
626	0	52	0	63	0
627	0	93	0	0	0
628	0	588	0	0	0
629	0	524	0	0	0
630	0	433	0	0	0
631	0	299	0	0	0
632	0	188	0	229	0
633	0	237	0	0	0
634	0	588	0	0	0
635	0	446	0	223	0
636	0	202	0	242	0
637	0	241	0	353	0
638	0	521	0	0	0
639	0	549	0	0	0
640	0	58	174	116	77
641	0	170	0	0	0
642	0	79	70	0	0
643	0	46	0	52	0
644	0	186	0	0	0
645	0	372	0	0	0
646	0	185	0	177	0
647	0	565	0	0	0
648	0	627	0	0	0
649	0	65	41	0	0
650	0	59	0	123	0
651	0	22	18	9	55
652	0	150	155	253	201
653	0	233	176	0	0
654	0	137	267	186	102
655	0	393	0	0	0
656	0	384	0	0	0
657	0	51	0	58	0
658	0	316	0	0	0
659	0	350	0	0	0
660	0	590	0	0	0
661	0	272	0	0	159
662	0	259	130	203	160
663	0	76	0	189	134
664	0	43	0	66	0
665	0	62	39	72	46
666	0	100	132	132	64
667	0	45	102	34	0
668	0	135	73	122	131
669	0	353	0	0	0
670	0	105	217	203	0
671	0	53	0	73	0
672	0	58	159	44	67
673	0	236	160	245	186
674	0	172	0	0	0
675	0	50	58	76	98
676	0	208	0	0	0
677	0	202	0	0	451
678	0	102	56	0	88
679	0	478	0	550	0
680	0	231	225	207	243
681	0	204	0	119	162
682	0	321	249	334	1
683	0	87	66	76	111
684	0	244	167	121	158
685	0	20	26	11	49
686	0	119	520	0	0
